1486555242.dat<>【悲報】嫌儲民の「じゃ」予測変換、全員「ジャップ」説 [無断転載禁止]&#169;2ch.net	 [819818695] (982)
1486549886.dat<>【交通事故】事故のトラックが歩道へ、30代母親死亡 １歳男児軽傷【埼玉・草加】 [無断転載禁止]&#169;2ch.net	 [718678614] (62)
1486547330.dat<>三鷹ストーカー事件、被害者の両親「懲役22年は軽すぎ。司法は普通の人の良識とはかけ離れている」 [無断転載禁止]&#169;2ch.net	 [665913571] (73)
1486519626.dat<>漁師「マグロを乱獲してる業者ひどすぎ！国が規制してくれ」　水産庁「ダメだね。彼らは大事な天下り先だから」　そしてマグロ絶滅へ… [無断転載禁止]&#169;2ch.net	 [902666507] (30)
1486555034.dat<>ザクとガンキャノンが合体した「ザク・キャノン」のフィギュアが発売 [無断転載禁止]&#169;2ch.net	 [208924962] (155)
1486537824.dat<>Cisco製ルータに不具合　18カ月たつと障害発生、復旧不可能に [無断転載禁止]&#169;2ch.net	 [594632409] (138)
1486550013.dat<>【ネトプア】神房男さんの魅力【バカスギワロタ】 [無断転載禁止]&#169;2ch.net	 [792283379] (33)
1486541908.dat<>悟空の声を完璧に再現できる女性プロゲーマーが登場！ これで野沢雅子さんがいつ引退しても安心だわ…　※動画あります [無断転載禁止]&#169;2ch.net	 [453776637] (83)
1486382170.dat<>外国人『何で日本は芸能ニュースばかりしてるの？だから馬鹿ばかりなんだよ。世の中の社会問題より芸能人の生活に興味があるのか（笑）』 [無断転載禁止]&#169;2ch.net	 [901679184] (142)
1486471287.dat<>２５歳を超えて「まじかー」「やばい」「それな」という言葉を使う奴は女性から品性を疑われる [無断転載禁止]&#169;2ch.net	 [193727557] (269)
1486476274.dat<>Amazonで買った電気敷毛布を1日中使ってヌクヌクしてたら電気代跳ね上がっててワロタ… [無断転載禁止]&#169;2ch.net	 [169521961] (167)
1486519916.dat<>けものフレンズの原作者、吉崎観音先生がアニメ５話の出来に意味深ツイート　一体なにがあったんだ・・・ [無断転載禁止]&#169;2ch.net	 [222623506] (100)
1486539192.dat<>【悲報】美人すぎるゴリラでおなじみの広瀬アリス、Bリーグのイケメンバスケ選手と真剣交際でデカチンポをダンクされてる模様 [無断転載禁止]&#169;2ch.net	 [875920232] (75)
1486552758.dat<>最近よくインド人を見かけるようになった [無断転載禁止]&#169;2ch.net	 [479556552] (36)
1486478639.dat<>辛酸なめ子『君の名は。東京の醜い風景を美しく描くことによって、トンキンのプライドを満たしている』と正論 [無断転載禁止]&#169;2ch.net	 [901679184] (123)
1486470735.dat<>トランプ大統領「日本は排気量の多い車に重税をかけている。アメリカ車を狙った非関税障壁だ」 [無断転載禁止]&#169;2ch.net	 [649717704] (324)
1486479485.dat<>「ソシャゲーはやらない主義です！」←おまえが貧乏なだけじゃんｗｗ [無断転載禁止]&#169;2ch.net	 [418642222] (861)
1486503478.dat<>ドラクエって鬱イベント多いよな…　DQ7神父、チビィ、シンシア、マキナ&amp;マウリア、アルウェちゃん様とか涙で画面が見えなくなる [無断転載禁止]&#169;2ch.net	 [875588627] (50)
1486549102.dat<>Galaxy Note7のバッテリー作ってた工場が火災、原因はバッテリーらしい 中国 [無断転載禁止]&#169;2ch.net	 [402859164] (18)
1486360929.dat<>福島第一原発２号機の格納容器内は毎時５３０Ｓｖ（数十秒で死亡）で圧力容器下に穴が開く [無断転載禁止]&#169;2ch.net	 [771738842] (257)
1486565836.dat<>性同一性障害のボディビルダーがすごいぞ [無断転載禁止]&#169;2ch.net	 [252358651] (32)
1486563744.dat<>広瀬アリス、マンコにチンコ出し入れが発覚か？ [無断転載禁止]&#169;2ch.net	 [455830913] (15)
1486544091.dat<>山形・長井小学校６年の平吹希雛さん（１２）の絵が特別賞に輝きルーブル美術館に展示 [無断転載禁止]&#169;2ch.net	 [771738842] (107)
1486558852.dat<>恵方巻数㌧規模で大量廃棄→コンビニが発注かけた数だけ出荷できなければ生産工場に罰金刑という仕組みの為 [無断転載禁止]&#169;2ch.net	 [169920436] (76)
1486569624.dat<>ドラえもん韓国へ侵攻、韓国空軍のF-15K戦闘機2機がスクランブル発進 [無断転載禁止]&#169;2ch.net	 [509841552] (8)
1486463158.dat<>スキー客向けのホテルが廃業しまくりの事態に　なぜ宿泊してくれなくなったのか [無断転載禁止]&#169;2ch.net	 [468628276] (633)
1486553260.dat<>【紅殻のパンドラ】声優の沼倉愛美さんと福沙奈恵さんが京都旅行に行く。これは実質OVAだわ 【クラりん】 [無断転載禁止]&#169;2ch.net	 [399583221] (12)
1486452750.dat<>グーで殴るより掌底の方がダメージ与えられるってマジ？ [無断転載禁止]&#169;2ch.net	 [604048985] (280)
1486461147.dat<>パブロンを飲むと楽しくなれるらしい　コミュ障、うつ病でも多幸感で楽しくなれるぞ [無断転載禁止]&#169;2ch.net	 [509143435] (107)
1486516155.dat<>AIが自己進化を開始 [無断転載禁止]&#169;2ch.net	 [649717704] (170)
1486553523.dat<>【画像】日本の配給会社が珍しく良い仕事をする [無断転載禁止]&#169;2ch.net	 [402581721] (44)
1486547435.dat<>ロードバイクに「カゴ、雨よけ、スタンド」とか付けるとネットで大爆笑されるからやめとけ。フルボッコされる。 [無断転載禁止]&#169;2ch.net	 [793337701] (34)
1486555968.dat<>エビ中より指原に死んでほしかった人の数→ [無断転載禁止]&#169;2ch.net	 [579392623] (15)
1486566667.dat<>【資源】コンビニから出る大量のフードロスに税金が投入される現実～鈴木敏文の残した悪しき遺産 [無断転載禁止]&#169;2ch.net	 [816491279] (38)
1486553795.dat<>ブラックホールから逃げる方法 [無断転載禁止]&#169;2ch.net	 [479556552] (33)
1486552524.dat<>「ザンギエフ」がアクションフィギュア化。おなじみの攻撃モーションを再現できて価格は14,580円 [無断転載禁止]&#169;2ch.net	 [208924962] (108)
1486461981.dat<>トランプ大統領、米NYタイムズ紙「自室で寂しくツイッター」報道に怒り爆発 [無断転載禁止]&#169;2ch.net	 [895142347] (158)
1486525210.dat<>【悲報】マクドのトリプルチーズバーガーがあっという間に販売終了。食えなかった人が続出 [無断転載禁止]&#169;2ch.net	 [169521961] (241)
1486549429.dat<>【衝撃】ついに本格的な小池百合子潰しが始まる…小池都知事を支持する音喜多都議の事務所に車が突っ込み殺害予告 [無断転載禁止]&#169;2ch.net	 [426667459] (134)
1486462303.dat<>【将棋　NHK】　三浦弘行九段「頑張るだけ」「怒りよりも信じてくれた人への感謝の気持ち大きい」 羽生三冠との復帰戦前に心境語る [無断転載禁止]&#169;2ch.net	 [193727557] (45)
1486399217.dat<>長谷川豊「育休取ったら出世できない？一生言ってろ！バカ女！」 [無断転載禁止]&#169;2ch.net	 [802545568] (587)
1486513628.dat<>J( ヽ｀ん´)し｢現実逃避で女そのものを否定してるキモ童貞が嫌儲にはこれほどいるとはなぁwモテない矛先は安倍政治を許さない！ってかw｣ [無断転載禁止]&#169;2ch.net	 [875920232] (36)
1486556413.dat<>2005年発売の SWAT 4 今になって大型Modがぞくぞく完成 [無断転載禁止]&#169;2ch.net	 [257790734] (3)
1486512222.dat<>韓国紙が社説｢我々は対馬の仏像問題や竹島への慰安婦像の設置問題で日本に充分に譲歩してやった｡次は安倍､お前の番だ｣ [無断転載禁止]&#169;2ch.net	 [597533159] (81)
1486552455.dat<>【トランプ】アメリカを象徴する自由の女神像、イスラム教徒の女性がモデルと判明 [無断転載禁止]&#169;2ch.net	 [311660226] (45)
1486555989.dat<>昨日射精したら同時に腹の筋肉がつって射精しながらのたうち回った。 俺もう死ぬのか？ [無断転載禁止]&#169;2ch.net	 [878419639] (8)
1486569697.dat<>【弁護士が答えます】警察官が警察官のスピード違反を見逃し…どんな罰則が？ [無断転載禁止]&#169;2ch.net	 [718678614] (1)
1486514964.dat<>【朗報】声優の中島愛さん生存確認！！キラッ☆ [無断転載禁止]&#169;2ch.net	 [222623506] (66)
1486569640.dat<>女性ファッション誌CREA3月号は「アニメ」特集！ ホモスケートのポストカード付き [無断転載禁止]&#169;2ch.net	 [858082374] (1)
1486562172.dat<>石坂敬一さん、お別れの会 [無断転載禁止]&#169;2ch.net	 [507895468] (3)
1486553554.dat<>アメリカで日本車売れすぎィ！　なんでアメリカ人はトヨタ車が好きなの？ [無断転載禁止]&#169;2ch.net	 [663621836] (80)
1486393462.dat<>ジョブスってなんで凄い奴扱いされてるの？ただこれを作れって命令してただけじゃん [無断転載禁止]&#169;2ch.net	 [328231926] (309)
1486558396.dat<>JKに「極小水着」着せ撮影、ウェブサイトで動画公開して逮捕 [無断転載禁止]&#169;2ch.net	 [854042269] (33)
1486566101.dat<>公文式の思い出。小学生なのに微積分まで進む天才、やればやるほど難しくなる教材…。 [無断転載禁止]&#169;2ch.net	 [596385156] (21)
1486483452.dat<>日本人は一見すると「勤勉」だが、「仕事への熱意」は世界最低クラス [無断転載禁止]&#169;2ch.net	 [895142347] (712)
1486523761.dat<>トランプ大統領、中国製品に525.31％の制裁関税を発動 [無断転載禁止]&#169;2ch.net	 [253246518] (475)
1486428056.dat<>【悲報】東芝の半導体事業、韓国のＳＫハイニックスが出資へｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ [無断転載禁止]&#169;2ch.net	 [279333982] (402)
1486541948.dat<>53歳で声優を目指すオッサン現る。お前らもまだ間に合うぞ 斧アツシも40越えて声優になった [無断転載禁止]&#169;2ch.net	 [275723402] (26)
1486536418.dat<>埼玉県から神奈川県か静岡県への異動 どっちがおすすめなんだ… [無断転載禁止]&#169;2ch.net	 [533895477] (17)
1486481206.dat<>【画像】ピンチに陥るとウロコを脱ぎ捨てていやらしい姿になるヤモリが見つかる [無断転載禁止]&#169;2ch.net	 [399583221] (274)
1486552090.dat<>上司｢バカ！アホ！ボケ！｣←仕事中にこんなこと言う上司にろくな人間はいないからさっさと辞めた方がいいぞ [無断転載禁止]&#169;2ch.net	 [875920232] (19)
1486548573.dat<>正社員になってウキウキの初出勤に「遅刻しそう」とバイクで爆走した男性（４３）を逮捕 [無断転載禁止]&#169;2ch.net	 [771738842] (93)
1486547704.dat<>江原哲之「保育園うるさいとクレーム入れるのは団塊のジジババ。何で自分たちを支えてくれる若い世代に手を合わせて感謝しないの？」 [無断転載禁止]&#169;2ch.net	 [426667459] (85)
1486566289.dat<>新型がん薬「キイトルーダ」一年で１４００万円で発売開始へ [無断転載禁止]&#169;2ch.net	 [455830913] (11)
1486554228.dat<>「ヤフオクでゲイビデオ落札したら同じ町の人で気まずかったわ」 [無断転載禁止]&#169;2ch.net	 [716259949] (39)
1486567136.dat<>全裸でビリージーンを踊りながらコンビニに鬼殺サーを買いに行こうと思う、アドバイスをくれ [無断転載禁止]&#169;2ch.net	 [634616482] (7)
1486563195.dat<>篠原涼子って出来る女ぶってるけど、ダウンタウンや今田蔵野にキスされたりおっぱいやマンコ触られてたんだよね。 [無断転載禁止]&#169;2ch.net	 [326428386] (35)
1486546553.dat<>【着エロ】少女に面積が小さい水着や透ける衣装を着せ「萌えっ娘ネット」で公開した容疑者を逮捕 [無断転載禁止]&#169;2ch.net	 [952522887] (27)
1486553420.dat<>【愛国】安倍さん「トランプに会ったら日本は円安に誘導していないと説得する。円安はデフレ脱却と緩やかな物価上昇のためですとね」 [無断転載禁止]&#169;2ch.net	 [426667459] (20)
1486503200.dat<>【士気向上】 東京電力、年収２％増を要求 事故前の５％減のまで回復した年収の更なる上昇を目指す [無断転載禁止]&#169;2ch.net	 [219241683] (261)
1486555656.dat<>ケンモメン「これ一式ください(′д&#8245;；；)」 [無断転載禁止]&#169;2ch.net	 [327876567] (9)
1486567316.dat<>佐世保県庁に勤めるエリート公務員が安定した生活を擲って映画監督を目指し世界武者修行の旅に出る　撮影の経験はない [無断転載禁止]&#169;2ch.net	 [389326466] (13)
1486562270.dat<>サッカー長谷部は万能接着剤だった模様 [無断転載禁止]&#169;2ch.net	 [255920271] (32)
1486519697.dat<>東京オリンピック終了のお知らせ、招致活動を巡る不正疑惑でエセ皇族の竹田JOC会長が事情聴取を受けていた [無断転載禁止]&#169;2ch.net	 [875920232] (72)
1486390951.dat<>【バカウヨ速報】ニュース２３みろ　ウヨに乗っ取られた青林堂が社員に暴言、パワハラ　 [無断転載禁止]&#169;2ch.net	 [347334234] (730)
1486520054.dat<>「レンタカー割り勘」白タク行為と判断されて逮捕された人、起訴猶予処分　「レンタカー割り勘が法律違反なのは間違いない」と警察判断 [無断転載禁止]&#169;2ch.net	 [468628276] (314)
1486564763.dat<>精霊の力で娘が男に性転換！？　偽のちんぽで村人を騙し金儲けをした親子を詐欺罪で逮捕 [無断転載禁止]&#169;2ch.net	 [798527598] (5)
1486520122.dat<>Google、とうとうモザイク消去技術を開発する [無断転載禁止]&#169;2ch.net	 [843031805] (323)
1486566625.dat<>函館線オーバーラン！ [無断転載禁止]&#169;2ch.net	 [609535295] (6)
1486565529.dat<>【注意】韓国でイケメンマッサージ集団による詐欺が横行　 日本人女子の体験談 [無断転載禁止]&#169;2ch.net	 [522515305] (21)
1486548035.dat<>【動画】中国の遊園地で、13歳の少女がアトラクションから投げ出される [無断転載禁止]&#169;2ch.net	 [895142347] (90)
1486344251.dat<>【速報】 色盲絵師(嫌儲公認)が早稲田大学法学部の卒業証明書を堂々アップ　誕生日も8月15日確定　嫌儲大勝利なんJ旧速惨敗★2&#169;2ch.net	 [454032396] (979)
1486541810.dat<>三森すずこ初のトレーディングカードが発売決定 [無断転載禁止]&#169;2ch.net	 [391262477] (57)
1486563460.dat<>「７３歳定年制」堅持を求める自民党青年局にベテラン議員が反論「年齢差別だ」 [無断転載禁止]&#169;2ch.net	 [593776499] (9)
1486556402.dat<>牛乳がバナナ牛乳になっていたので回収 [無断転載禁止]&#169;2ch.net	 [609535295] (26)
1486543782.dat<>「くさそう」「これすき」幼稚化するネットスラング [無断転載禁止]&#169;2ch.net	 [566475398] (83)
1486523054.dat<>人気アイドルグループ「私立恵比寿中学」の松野莉奈さん(18)が病死。若くて可愛いくて未来有望な女の子が死ぬなんて世の中は理不尽だな [無断転載禁止]&#169;2ch.net	 [382134853] (116)
1486556456.dat<>沖縄でF-35Bの訓練開始 [無断転載禁止]&#169;2ch.net	 [158879285] (10)
1486564039.dat<>ネスカフェアンバサダーって要するにアフィみたいなもんか？ [無断転載禁止]&#169;2ch.net	 [373996372] (5)
1486524296.dat<>文部科学省の天下りがすごい　月2回勤務で年収1千万　これ半分貴族階級だろ [無断転載禁止]&#169;2ch.net	 [266670284] (74)
1486550247.dat<>【パズドラ】パズル＆ドラゴンズ [無断転載禁止]&#169;2ch.net	 [948420899] (49)
1486351491.dat<>村岡さん　フィリピンで講演会 [無断転載禁止]&#169;2ch.net	 [479556552] (52)
1486564580.dat<>「うみねこの鳴く頃に」やったら大人の登場人物がみんなケンモメンみたいでワロタ [無断転載禁止]&#169;2ch.net	 [811796219] (7)
1486463645.dat<>Twitter・Facebook・youtube　なぜ日本は世界に広がるネットサービスを展開できなかったの？ [無断転載禁止]&#169;2ch.net	 [418642222] (148)
1486448925.dat<>うつ病部。 [無断転載禁止]&#169;2ch.net	 [769327952] (194)
1486547972.dat<>ハヤテのごとく！、鬱展開へ　ナギさんが死を意識しだすほど病む [無断転載禁止]&#169;2ch.net	 [372989558] (56)
1486564397.dat<>年俸５０億のテベス　何もできずチームはACL敗退 [無断転載禁止]&#169;2ch.net	 [478140236] (8)
1486529589.dat<>コンビニで売ってる500円くらいのワインって美味しいの？ [無断転載禁止]&#169;2ch.net	 [949047195] (115)
1486558506.dat<>ノーベル受賞者宅に空き巣、賞状を盗られる [無断転載禁止]&#169;2ch.net	 [956093179] (17)
1486383591.dat<>【速報】ジャムやバターを大量にぶっかけた二郎系ラーメンを毎日食べている女子、後ろ姿が開示される [無断転載禁止]&#169;2ch.net	 [785146532] (656)
1486536453.dat<>地方信金に預金してるんだがオーストラリアドル立て替えの個人年金を薦められた、毎月1万を30年なんだが加入してもいいのか？ [無断転載禁止]&#169;2ch.net	 [875920232] (65)
1486532029.dat<>【やったぜ】日銀　国債の４割を買収 [無断転載禁止]&#169;2ch.net	 [847269658] (117)
1486542875.dat<>「バンパイアハンター」でドノヴァンやビクトル使ってた奴何考えてるの？　苦行なの？ [無断転載禁止]&#169;2ch.net	 [793337701] (82)
1486554877.dat<>『ガヴリールドロップアウト』公式サイトで性格診断やってるぞ　勿論結果はサタニキアブラザーズだよな？ [無断転載禁止]&#169;2ch.net	 [702839333] (54)
1486537876.dat<>任天堂、Nintendo SwitchテレビCMに大泉洋を起用　こいつはどこに需要があるんだよ [無断転載禁止]&#169;2ch.net	 [854042269] (40)
1486553333.dat<>wsj「イギリスよ　移民を減らせば日本と同じ道を逝くことになるぞ　いいのか？」 [無断転載禁止]&#169;2ch.net	 [234053615] (8)
1486567655.dat<>大河ドラマ　ラッキー珍大名・徳川家康 [無断転載禁止]&#169;2ch.net	 [875588627] (3)
1486548281.dat<>【画像】 セブンの「タルタルフィッシュロール」が大好評、マックのフィレオフィッシュ不要の声も [無断転載禁止]&#169;2ch.net	 [604048985] (135)
1486546154.dat<>日本一陰湿なあの場所が世界の人気都市ランキングで1位に [無断転載禁止]&#169;2ch.net	 [367148405] (17)
1486555551.dat<>響け！ユーフォニアムって全国金で終わった方が絶対よかったよな　何故変にリアルにこだわってしまったのか [無断転載禁止]&#169;2ch.net	 [702839333] (67)
1486487569.dat<>【朗報】 天皇陛下、民進党を支持へ。 安倍（朝敵）の憲法違反に激怒 【尊王攘夷】 [無断転載禁止]&#169;2ch.net	 [535893647] (96)
1486558437.dat<>稲田防衛省「殺傷行為はあったけど憲法９条のせいで戦闘行為という言葉が使えないんですよ？」 [無断転載禁止]&#169;2ch.net	 [426667459] (1001)
1486564970.dat<>オリックスカーシェアで基本料（2か月分）&amp;時間料金（1600円分）&amp;ICカード発行手数料無料キャンぺーンを実施中 [無断転載禁止]&#169;2ch.net	 [118512111] (7)
1486429391.dat<>【ウヨ速】日本会議の塚本幼稚園「Ｋ国・Ｃ国の工作員が幼稚園に潜入している」声明、法務省が指定するヘイトの典型例に適合 [無断転載禁止]&#169;2ch.net	 [311660226] (170)
1486559117.dat<>なんJ公認絵師がJASRACのやってることを農業に例えた漫画を投下し嫌儲壊死との格の違いを見せつけるTwitterでも5000RT [無断転載禁止]&#169;2ch.net	 [388685895] (50)
1486566551.dat<>安倍首相がトランプ大統領の「円安誘導」を全否定し金融緩和に理解要請すると明言 [無断転載禁止]&#169;2ch.net	 [771738842] (9)
1486556434.dat<>セックスは男同士の方が気持ちよい　妊娠の心配も無いからコンドーム不要で不特定多数とやりまくれる。 [無断転載禁止]&#169;2ch.net	 [326428386] (13)
1486557176.dat<>ツイッターで”解熱剤でインフル脳症”デマが拡散　昔マガジンの漫画でそんなの見た [無断転載禁止]&#169;2ch.net	 [368289528] (5)
1486354917.dat<>村岡さん、過去と向き合っていく重要性を訴える [無断転載禁止]&#169;2ch.net	 [604460326] (66)
1486558922.dat<>モデル・アイドルの4人に1人が性的行為撮影を要求されていた・・・ [無断転載禁止]&#169;2ch.net	 [811571704] (21)
1486557556.dat<>iPhone8、陶器製らしい　包丁砥げるのかな？ [無断転載禁止]&#169;2ch.net	 [311660226] (41)
1486549957.dat<>英国のメイ首相、中国訪問へ。「英中の蜜月を改めて示す機会になる」  なお訪日予定は無しw [無断転載禁止]&#169;2ch.net	 [479913954] (23)
1486548638.dat<>【エロス】いつもお世話になってるdmmのプレイヤーが変更されて使い勝手が悪くなる [無断転載禁止]&#169;2ch.net	 [616975281] (11)
1486538307.dat<>【画像】稲田朋美さん狂犬マティスに顔写真入りのチロルチョコをプレゼントをしていた？これフェイクじゃないよな？ [無断転載禁止]&#169;2ch.net	 [426667459] (69)
1486553899.dat<>チラリズムや着衣セックスを称揚する通ぶったネット勢力には本当に辟易するよな　全裸になれい！ [無断転載禁止]&#169;2ch.net	 [539914983] (50)
1486551725.dat<>岩手・矢巾東小の５０代女性教員がパワハラ苦に移動願い出すも認められず提訴 [無断転載禁止]&#169;2ch.net	 [771738842] (9)
1486536268.dat<>ネトウヨ達よ！目を覚ませ！下手すると貧乏人のまま一生を終えてしまうぞ！ [無断転載禁止]&#169;2ch.net	 [193727557] (62)
1486559566.dat<>いいニュースがなくてスレ立てれずスレ立て権が無駄になり続ける日って狂いそうになる…… [無断転載禁止]&#169;2ch.net	 [539914983] (6)
1486558591.dat<>朝までファーストケンモ～で&#127925;みんな たわいもないレス～&#127925;時間が経つのも忘れていたね～&#127925; [無断転載禁止]&#169;2ch.net	 [634616482] (6)
1486473583.dat<>安倍首相がトランプとゴルフをした場合、世界から袋叩きにあうことが確定　 [無断転載禁止]&#169;2ch.net	 [455679766] (126)
1486432346.dat<>石原慎太郎さん(84)「トランプには撃ち合ったらお前が怪我するぞという交渉が通じるけど、日本の政治家や外務省には度胸がないね」 [無断転載禁止]&#169;2ch.net	 [899382504] (290)
1486558421.dat<>大きくなったらシャベルカーになる！って言ってた子の今 [無断転載禁止]&#169;2ch.net	 [327876567] (19)
1486558436.dat<>聲の形めっちゃ感動した(´；ω；`) [無断転載禁止]&#169;2ch.net	 [277861996] (46)
1486431379.dat<>辛淑玉氏の指南動画が流出「爺さん婆さんたちは向こう(沖縄)行ったら嫌がらせをしてみんな捕まってください」★４ [無断転載禁止]&#169;2ch.net	 [389715427] (160)
1486484861.dat<>はるかぜちゃんが上杉隆に説教「あなたはたくさんの方の信頼を失いました」 [無断転載禁止]&#169;2ch.net	 [455679766] (337)
1486548185.dat<>【朗報】からかい上手の高木さんNHKで放送へ [無断転載禁止]&#169;2ch.net	 [303493227] (8)
1486558968.dat<>ラーメン二郎で食べるスピードが遅いと注意されたラヲタが発狂、怒りのデータベース [無断転載禁止]&#169;2ch.net	 [128488161] (1001)
1486556969.dat<>マイナーだけど面白いヤンキー漫画　「エンジェル伝説」 「エリートヤンキー三郎」 まだある？ [無断転載禁止]&#169;2ch.net	 [604048985] (36)
1486563185.dat<>おまえら嫌儲にいて何か得られた知識とかあるん？俺モメンは長年いてまんこが臭いぐらいしか得られた知識ないんだが [無断転載禁止]&#169;2ch.net	 [283719136] (22)
1486469930.dat<>雨宮天さん「普段はカラスの行水な私でも、ホテルで泡風呂とかにすると楽しくて長くお風呂に入れるので皆さんにもおすすめです。」 [無断転載禁止]&#169;2ch.net	 [372989558] (104)
1486526041.dat<>声優の竹達彩奈さん「わたしからラーメンの匂いがする気がする…でもラーメンなんて全然食べてないの。 なんだやめてよ！(´；ω；`) [無断転載禁止]&#169;2ch.net	 [899382504] (249)
1486550038.dat<>リルリルフェアリル シーズン２で放送時間変更らしい。最近の幼女は朝アニメ見ないのか [無断転載禁止]&#169;2ch.net	 [303493227] (24)
1486523201.dat<>咲-Saki-そうごうスレ [無断転載禁止]&#169;2ch.net	 [609535295] (12)
1486560948.dat<>アニメ見ないキモオタって、何やってるの？ [無断転載禁止]&#169;2ch.net	 [186586446] (39)
1486560255.dat<>異世界転生で有能イケメンになってモテる話ってそれ今の自分の全否定じゃん　せっかく異世界なんだから無能ブサイクのままモテろよ [無断転載禁止]&#169;2ch.net	 [539914983] (3)
1486542747.dat<>樹齢約400年の盆栽がこれ お前らも少しは見習えよ [無断転載禁止]&#169;2ch.net	 [947624545] (28)
1486551850.dat<>ディー・エヌ・エー まとめ記事サイト停止で３８億円損失 [無断転載禁止]&#169;2ch.net	 [688621589] (142)
1486564819.dat<>上下２連の散弾銃ってなんであんなに美しいの。あんなの美術品じゃないか！ [無断転載禁止]&#169;2ch.net	 [277861996] (14)
1486553510.dat<>長澤まさみの“マメ見え”舞台に 志村けん、思わず「アイ～ン」と“勃春” [無断転載禁止]&#169;2ch.net	 [899382504] (49)
1486540225.dat<>文科省天下りあっせんの嶋貫和男「顧問会社から報酬１５００万円貰ってるがボランティアです」 [無断転載禁止]&#169;2ch.net	 [771738842] (21)
1486540601.dat<>声優の上坂すみれさん、自慢のロケットおっぱいを強調するﾊﾟﾝｯﾊﾟﾝデカパイのエロいワンピ姿をお見せになる。嫌儲民の金玉を挑発し過ぎﾀﾞﾛ [無断転載禁止]&#169;2ch.net	 [615019964] (138)
1486556493.dat<>あきんどスシロー、大満足の、苺づくし　ブラックサンダーパフェもあるよ！ [無断転載禁止]&#169;2ch.net	 [311660226] (5)
1486424510.dat<>有田芳生議員「ネトウヨを『ゴキブリ』と呼んでもヘイトスピーチにはならない」こんな奴が国会議員やってていいのかよw [無断転載禁止]&#169;2ch.net	 [535050937] (482)
1486482407.dat<>文科省の天下り、月２回出勤すると１０００万円もらえる超上級。　国会がどよめく。 [無断転載禁止]&#169;2ch.net	 [793337701] (130)
1486549451.dat<>ジョジョ4部最大の謎　「仗助を助けた不良」「支倉未起隆」「川尻早人はスタンドが見えている件」 [無断転載禁止]&#169;2ch.net	 [566475398] (75)
1486554387.dat<>日本政府「輸入＝悪はおかしい」「じゃあ、日本はもっとアメリカの車や農作物を輸入しろよ。輸入＝悪じゃないんだろ？」日本政府「…」 [無断転載禁止]&#169;2ch.net	 [786648259] (40)
1486423606.dat<>【悲報】豊洲マンション暴落　住人「毒洲とか呼ばれる、買わなきゃよかった…」 [無断転載禁止]&#169;2ch.net	 [255920271] (498)
1486386213.dat<>雑談1195 [無断転載禁止]&#169;2ch.net	 [892297506] (99)
1486369950.dat<>法務省がヘイトスピーチの典型例を発表→ネトウヨ発狂「法務省は善良な日本人の敵」 [無断転載禁止]&#169;2ch.net	 [479913954] (155)
1486553278.dat<>沖縄ってどこの国にあるんだっけ？ [無断転載禁止]&#169;2ch.net	 [326428386] (16)
1486564035.dat<>【画像】大酒飲みの50歳男性、膵臓が石化 [無断転載禁止]&#169;2ch.net	 [311660226] (10)
1486538089.dat<>スーパー銭湯で股間を隠さない、メガネ着用、外のベンチで寝そべってる奴らってもれなくホモだよな、そもそも銭湯に行く奴はホモ [無断転載禁止]&#169;2ch.net	 [875920232] (115)
1486550611.dat<>なんで大阪ってやたらとレトロモダンが好きなん？モダン建築ばっかりやん(´・ω・｀) [無断転載禁止]&#169;2ch.net	 [255920271] (81)
1486540826.dat<>【動画】まいんさんこと福原遥が人気読者モデルのダンスグループでセンター　踊る [無断転載禁止]&#169;2ch.net	 [919639993] (9)
1486558159.dat<>インパクトドライバ買おうと思う。　日立が良いんだろ？ [無断転載禁止]&#169;2ch.net	 [326428386] (47)
1486467400.dat<>「Xbox360」は何故天下を取れなかったのか。ブルドラ、ロスオデ、デッドラとソフトが充実した所でのバリューパック投入は神がかってた [無断転載禁止]&#169;2ch.net	 [208924962] (674)
1486557493.dat<>【自転車】19歳男性「平坦、上り以外に短距離型、長距離型などの得意不得意はありますか？」（原文まま） [無断転載禁止]&#169;2ch.net	 [565250761] (6)
1486560324.dat<>ユニクロ創業者の叔父、柳井政雄のwikiがヤバい [無断転載禁止]&#169;2ch.net	 [483053163] (71)
1486355401.dat<>ルペン「『フランスの利益を最優先にする』と憲法に明記します、EUなんてクソ食らえ！主権を取り戻せ」支持率トップ [無断転載禁止]&#169;2ch.net	 [252358651] (456)
1486498617.dat<>アイカツスターズの二年目でドロップアウトして欲しいキャラ [無断転載禁止]&#169;2ch.net	 [591262568] (27)
1486506382.dat<>自動車免許取って1年なんだが未だにエアコンの使い方がわからん、どれがどのスイッチなんだよ [無断転載禁止]&#169;2ch.net	 [875920232] (144)
1486382459.dat<>マツコ「バイト女子高生への罰金はそれが社会、労働基準法だけじゃ成立しない。JASRACは昔みたいCDが売れないからしょうがない」 [無断転載禁止]&#169;2ch.net	 [523092628] (245)
1486555723.dat<>【大雪】 明日、明後日ともに東京で降雪 天ぷら [無断転載禁止]&#169;2ch.net	 [219241683] (18)
1486429671.dat<>【悲報】従業員に電子チップを埋め込み管理する企業が増加 [無断転載禁止]&#169;2ch.net	 [596385156] (154)
