1487052163.dat<>弁護士チンポ切断事件、懲役4年6カ月の実刑判決で被告人の控訴棄却 [無断転載禁止]&#169;2ch.net	 [892356801] (40)
1487031974.dat<>フィナンシャルタイムズ「証拠は示唆している、為替操作の最悪の常習犯は中国と日本ではなく韓国と台湾であると」 [無断転載禁止]&#169;2ch.net	 [792568439] (27)
1486986595.dat<>【悲報】愛知の中3男子、担任にプリントを配らされ自殺 [無断転載禁止]&#169;2ch.net	 [975468387] (897)
1486979440.dat<>あまりにショボイ自衛隊の緊急キット。隊員が撃たれても助けられない!? [無断転載禁止]&#169;2ch.net	 [163221131] (89)
1486902214.dat<>貧困家族｢子供の靴は破れても買えません！教養本も買えません！でもiPhoneは買えます！！｣←金の使い方が頭おかしいだろ [無断転載禁止]&#169;2ch.net	 [875920232] (430)
1487036716.dat<>山陽道で高速バス炎上 [無断転載禁止]&#169;2ch.net	 [609535295] (28)
1486984940.dat<>なぜ！？民進党支持率が前回から2.3%もマイナス！一体何がダメなのか？ [無断転載禁止]&#169;2ch.net	 [538835723] (603)
1486967173.dat<>実力派声優の日笠陽子さん　人妻になって女性ホルモン分泌しまくりどんどんお綺麗になる　 [無断転載禁止]&#169;2ch.net	 [789313175] (136)
1487047765.dat<>9人が立候補したトルクメニスタン大統領選挙、得票97%で現職が3選　プーチン大統領が祝意 [無断転載禁止]&#169;2ch.net	 [851889314] (4)
1487029381.dat<>公共事業の減少で経営成り立たず 国内唯一の高品質セメント工場閉鎖へ [無断転載禁止]&#169;2ch.net	 [533895477] (21)
1486888020.dat<>イギリス人、1粒2400円の日本産高級イチゴに批判　「バカバカしい」「全く持って資源の無駄」 [無断転載禁止]&#169;2ch.net	 [956093179] (262)
1486989846.dat<>でもさあ、麻原や大川をインチキ扱いしてるけどキリストもやってること全く同じじゃん。無限にパン増殖させたり復活したり [無断転載禁止]&#169;2ch.net	 [388685895] (190)
1486987928.dat<>【悲報】 政府「拉致問題は安倍政権の最重要課題、全力を尽くす考えに変わりはない」 [無断転載禁止]&#169;2ch.net	 [186586446] (30)
1486901733.dat<>■身長165cmのイケメン VS 身長180cmのフツメン　女性が選んだ結果は [無断転載禁止]&#169;2ch.net	 [901679184] (819)
1486971333.dat<>英字メディア『日本人が手当たり次第に食料品を輸入しまくるせいで世界中の800種近い生物が絶滅の危機に』 [無断転載禁止]&#169;2ch.net	 [852979753] (185)
1486797394.dat<>西暦4205年10月12日、ジャップが絶滅するのが確定する日 [無断転載禁止]&#169;2ch.net	 [743790983] (42)
1486872757.dat<>トランプ｢貧乏人はネットするな｣ 支援プログラムを廃止､貧困層のネットからの追放を開始 [無断転載禁止]&#169;2ch.net	 [597533159] (276)
1486903477.dat<>NHKに出演した貧困JK｢教育ローンパンフレットの表紙モデルは何わろてんねん、金借りるのに夢も希望も無いんじゃボケ！｣ [無断転載禁止]&#169;2ch.net	 [875920232] (243)
1486971432.dat<>いい歳して免許持ってない奴集え～ この先どうする？ [無断転載禁止]&#169;2ch.net	 [431689507] (476)
1486891573.dat<>英国民「トランプに擦り寄る首相はけしからん！沈黙は共犯！」 日本国民「仲良さそう！最高！」 ジャップさぁ… [無断転載禁止]&#169;2ch.net	 [317740771] (117)
1487027655.dat<>川澄綾子 [無断転載禁止]&#169;2ch.net	 [975739503] (10)
1486818500.dat<>【ALLｼﾞｬﾊﾟﾝ】 一企業がやらかした事なのになぜ、国民みんなで負担するのか 環境相「除染費用の東電に請求せず国民負担となった」 [無断転載禁止]&#169;2ch.net	 [219241683] (106)
1487044013.dat<>敗戦で領土の８割を喪失した日本が、戦後繁栄した理由 [無断転載禁止]&#169;2ch.net	 [902666507] (37)
1487043690.dat<>どんな不味い料理も味の素ぶちまければ美味くなるってマジ？ [無断転載禁止]&#169;2ch.net	 [924331556] (9)
1487006736.dat<>2016世界報道写真大賞、やはりロシア大使殺害事件時の写真となる [無断転載禁止]&#169;2ch.net	 [798527598] (17)
1486908522.dat<>社畜寝ろオラァ！&#128554;&#128552;&#128557;明日に備えてしっかり眠れ！ [無断転載禁止]&#169;2ch.net	 [773782618] (87)
1486937048.dat<>【ラブライブ！】横アリ「センターは誰だ?」2次HP「はい。」 [無断転載禁止]&#169;2ch.net	 [815324337] (374)
1486987251.dat<>熊本地震の復興工事で下請け業者への代金不払い続出！ [無断転載禁止]&#169;2ch.net	 [771738842] (20)
1486897751.dat<>「子供の貧困」に対して日本人は「自己責任だろ」「生まれて来る親は選べる」「前世の行いが悪い」 [無断転載禁止]&#169;2ch.net	 [339454773] (138)
1487046210.dat<>ボテ腹こそ最強のジャンル　純愛も陵辱も寝取られも異種姦もなんでもござれ [無断転載禁止]&#169;2ch.net	 [944448626] (9)
1486863076.dat<>介護施設「この業界は２４時間を２交代で勤務するのが〝普通〟だから。もちろん大丈夫だよね？」　介護士「はい…」 [無断転載禁止]&#169;2ch.net	 [902666507] (270)
1486894907.dat<>仕事って楽しいし金も貰えて最高だよな。というか逆に仕事してない奴って何なの？毎日毎日代り映えのしない嫌儲を眺め続けて楽しいか？ [無断転載禁止]&#169;2ch.net	 [309235366] (42)
1486975567.dat<>【朗報】 白人様、東アジア勢の高学力に脱帽　「一体、君らはどんな教育をしているんだ？」 [無断転載禁止]&#169;2ch.net	 [989661427] (50)
1487046127.dat<>【悲報】 世間はバレンタインデーあまり盛り上がってないのに、嫌儲だと大盛り上がり お前らってほんと世間とズレてるよな [無断転載禁止]&#169;2ch.net	 [434776867] (9)
1486990089.dat<>腰を据えて長く遊べるスマホゲーってないんけ？ [無断転載禁止]&#169;2ch.net	 [604460326] (134)
1487035625.dat<>メカブ・・・　防腐剤…着色料…保存料…様々な化学物質　身体によかろうハズもない　　←　これマジ？ [無断転載禁止]&#169;2ch.net	 [325466359] (47)
1487038309.dat<>20代の女性の下半身や胸を触ったとして訴えられたオイルマッサージの男性に無罪判決　「触ったかもしれないが、それはマッサージの範疇」 [無断転載禁止]&#169;2ch.net	 [427372145] (53)
1487030560.dat<>【速報】童貞大学生　友達332人　「恋人はいらない」　これマジ？俺6人だが [無断転載禁止]&#169;2ch.net	 [876811395] (77)
1486923142.dat<>【悲報】情弱モメン　前回のNHK貧困女子高生うらら特番は捏造でバッシングは正しいと未だに信じる [無断転載禁止]&#169;2ch.net	 [978222412] (340)
1486957540.dat<>【ベッキー】カンニング竹山が清水富美加に苦言！「仕事を残したことによって不幸になる人がいっぱいいるわけじゃないですか」 [無断転載禁止]&#169;2ch.net	 [388685895] (424)
1487028264.dat<>さまぁ～ず三村が清水富美加に苦言「目標が低い。我々の世代とは違う」 [無断転載禁止]&#169;2ch.net	 [538555962] (140)
1487042681.dat<>どの動画にしようか長時間（4～5時間）迷った挙句ようやく抜いたときの気持ちよさは異常 [無断転載禁止]&#169;2ch.net	 [566475398] (19)
1486972698.dat<>米国人の52％「オバマ帰ってきてくれ」 [無断転載禁止]&#169;2ch.net	 [895142347] (22)
1486993443.dat<>嫌ポケモンGO部 ★88 [無断転載禁止]&#169;2ch.net	 [892297506] (21)
1487030441.dat<>トランプ　フリン補佐官に不満もらす [無断転載禁止]&#169;2ch.net	 [924331556] (10)
1486948384.dat<>月曜に　電車飛び込む　ジャップかな [無断転載禁止]&#169;2ch.net	 [294663652] (85)
1486985443.dat<>うちの親もうすぐ70なのに孫がいないらしい可哀想 [無断転載禁止]&#169;2ch.net	 [195648785] (106)
1486902637.dat<>「ため息を吐くと不幸せになる」　結局のところ、この言い伝えってマジなのか？ [無断転載禁止]&#169;2ch.net	 [793337701] (56)
1486911251.dat<>また　ものづくり大国　ニッポンがやらかした　日産のトラックがヨーロッパで突然走行中に　真っ二つ　になったらしい　ひどすぎワロタ [無断転載禁止]&#169;2ch.net	 [876811395] (238)
1486889487.dat<>【悲報】&quot;Victory for ABE&quot; ｢日米首脳会談は安倍の勝利だった｣と海外メディアが伝えてしまう [無断転載禁止]&#169;2ch.net	 [597533159] (97)
1486973608.dat<>働いたら負け←正論だョな。違法労働や人権侵害が蔓延るJAPの職場で死ぬor病むよりは働かない方が良い [無断転載禁止]&#169;2ch.net	 [792283379] (15)
1486902662.dat<>NHKで貧困を自称する子供、なぜかiPhoneを所有　なぜ貧乏なのにiPhoneは持てるのか　格安SIM＋格安Androidのほうが安いのに [無断転載禁止]&#169;2ch.net	 [468628276] (478)
1487012103.dat<>【悲報】現役ナース「天使かと思ったら私だった」 [無断転載禁止]&#169;2ch.net	 [838559742] (230)
1486813981.dat<>【悲報】安倍ぴょんとトランプの握手が完全に犬とご主人様の握手だと話題に [無断転載禁止]&#169;2ch.net	 [204160824] (77)
1486984842.dat<>【安倍】前回より2.1%増えて支持率61.7%とか安倍ぴょん強過ぎだろ。俺達リベラルモメンは悲しいョね [無断転載禁止]&#169;2ch.net	 [792283379] (17)
1486818300.dat<>中国人が日本に来れる条件＝年収400万円以上←ホーレスみたいな格好なのに俺らより稼いでてワロタ [無断転載禁止]&#169;2ch.net	 [479913954] (37)
1487023712.dat<>さよならジュピター [無断転載禁止]&#169;2ch.net	 [769327952] (9)
1486943801.dat<>ノーベル賞経済学者も認めた「日本の消費増税」の失策　アベノミクス [無断転載禁止]&#169;2ch.net	 [576572853] (14)
1486911053.dat<>【悲報】 保守の大家・西部邁（７７）さんブチギレ　「他国に攻められても応戦しない、そんな情けない国民相手に喋りたくない！！」 [無断転載禁止]&#169;2ch.net	 [989661427] (153)
1487040536.dat<>なぜ巷ではMacが大人気でデスクトップLinuxは超絶不人気なのか？ [無断転載禁止]&#169;2ch.net	 [422186189] (43)
1486973992.dat<>デレステついに難易度「MASTER+」を追加！ユニットの編成可能数も増加！これ半分神運営だろ [無断転載禁止]&#169;2ch.net	 [254871516] (168)
1486969296.dat<>安倍首相はなぜ外交に熱心？ - 池上 彰 [無断転載禁止]&#169;2ch.net	 [718678614] (79)
1486885716.dat<>トランプ、北朝鮮への支援を決定 [無断転載禁止]&#169;2ch.net	 [339454773] (36)
1486932435.dat<>【悲報】悟りを開いた日本の若者の現世離れが深刻…もう生きていてもしょうがない… 死ねば無になる [無断転載禁止]&#169;2ch.net	 [716042168] (152)
1486895958.dat<>【朝日新聞】世界中から嫌われる大統領に媚びを売るということが世界にどう映るか安倍晋三にはよく考えてほしかった [無断転載禁止]&#169;2ch.net	 [388685895] (89)
1486984890.dat<>初潮を赤飯でお祝いするのはセクハラ？SNSで報告する親が現れて非難殺到 [無断転載禁止]&#169;2ch.net	 [821450594] (39)
1486987226.dat<>親知らずの手術って歯茎切開するんだろ…こんなの無理ゲーだろ [無断転載禁止]&#169;2ch.net	 [479556552] (177)
1487003636.dat<>デモにバイクが突っ込み爆発 １６人死亡８０人負傷 [無断転載禁止]&#169;2ch.net	 [219241683] (9)
1486990188.dat<>TPP失敗→中国版TPPが覇権を握りそう [無断転載禁止]&#169;2ch.net	 [843246759] (11)
1486884079.dat<>はすみとしこ「幸福はカルトじゃない」テキサス親父「幸福の科学がカルトという証拠を出せ！」←こいつらどうするの？ [無断転載禁止]&#169;2ch.net	 [699673124] (241)
1487024898.dat<>【朗報】 お前らケンモメンの醜さが１３歳の中学生ケンモメンを元気づけている。との本人から報告 [無断転載禁止]&#169;2ch.net	 [219241683] (102)
1486904993.dat<>来月で震災から6年…。あれ、そういや放射脳は5年目から影響が出始めるとか言ってたけど、どうなったの？ｗｗ [無断転載禁止]&#169;2ch.net	 [539558835] (58)
1486914710.dat<>社会のド底辺集いし板で　「貧」　でスレタイ検索した結果ｗｗｗｗ　どんだけ貧乏乞食だらけなんだよｗ [無断転載禁止]&#169;2ch.net	 [962535228] (18)
1486817641.dat<>【悲報】日本にはもう爆買い中国人は来ないことが判明。今来ているのは中間より下の一般層www [無断転載禁止]&#169;2ch.net	 [479913954] (48)
1486951178.dat<>日本　内戦状態だった　シリア内戦の死者数=30万人/5年　日本の自殺者数=20万人/5年 [無断転載禁止]&#169;2ch.net	 [294663652] (102)
1487009705.dat<>羽生に負けた三浦九段「終盤が難しくてよく分かりませんでした。」 [無断転載禁止]&#169;2ch.net	 [793337701] (102)
1486917578.dat<>江戸時代のケンモメンってどんな感じだったの？ [無断転載禁止]&#169;2ch.net	 [373996372] (163)
1487000115.dat<>【速報】台湾で観光バスが横転、乗客40人のうち28人の死亡確認 [無断転載禁止]&#169;2ch.net	 [479913954] (49)
1486962849.dat<>｢もはや、朝鮮人スパイは、日本の国の存続を脅かす存在になっている。皇室の危機に気づいていますか？｣←なんだよこれ、いい加減にしろよ [無断転載禁止]&#169;2ch.net	 [875920232] (21)
1487007859.dat<>旧日本軍の悪行がマジで酷い件。。。おれはこの民族に生まれて恥ずかしい [無断転載禁止]&#169;2ch.net	 [838559742] (94)
1486813602.dat<>現存する世界最古の国・日本 ←これマジ？誇っていいのか…？ [無断転載禁止]&#169;2ch.net	 [533895477] (242)
1487044910.dat<>「金属水素」の生成に成功 [無断転載禁止]&#169;2ch.net	 [539914983] (6)
1486945986.dat<>日本に富裕層が激増　それ以上に貧困層が激増 [無断転載禁止]&#169;2ch.net	 [649717704] (267)
1486980592.dat<>嘘松｢戦艦大和造船技官だった祖父が資材のプラチナで指輪を作って祖母に求婚した｣→オタクイベントで冒涜され大激怒 [無断転載禁止]&#169;2ch.net	 [875920232] (437)
1486910947.dat<>【2st】スイスから2st500V型エンジンのバイクが限定発売【バイク】 [無断転載禁止]&#169;2ch.net	 [462451974] (79)
1487013052.dat<>【ガロ】つげ義春の魅力。ゲンセンカン主人が一番好き [無断転載禁止]&#169;2ch.net	 [792283379] (25)
1486923058.dat<>関東ではすき焼きに豚肉使うってマジ？ [無断転載禁止]&#169;2ch.net	 [368723689] (122)
1486967974.dat<>マリファナって一度でいいからやってみたいよな [無断転載禁止]&#169;2ch.net	 [947624545] (256)
1487043348.dat<>伊集院光、清水富美加を巡る騒動に「芸能界の意見が一色なことに気持ち悪さを感じる」 [無断転載禁止]&#169;2ch.net	 [388685895] (39)
1487041677.dat<>女子高生と知り合って恋愛及びセックスした罪で34歳会社員を逮捕　住所氏名報道で人生終了　18歳未満とセックスしていいのは18歳未満だけ [無断転載禁止]&#169;2ch.net	 [998357762] (13)
1486996228.dat<>【バレンタインデー】「俺はチョコとか別に欲しくないから」って態度の奴。クラスの女子からキモがられてるぞ [無断転載禁止]&#169;2ch.net	 [767516462] (23)
1487040155.dat<>【Amazon】お前ら、プライムビデオもいいがプライムミュージックもいいぞ。洋楽が意外と充実してて捗るぞ。 [無断転載禁止]&#169;2ch.net	 [886378588] (34)
1486948942.dat<>テレ朝キャスターが働いていた銀座の高級サロンにテレ朝弘中アナも昔働いていた疑惑 [無断転載禁止]&#169;2ch.net	 [538555962] (80)
1487032692.dat<>「愛されない馬鹿」の特徴 [無断転載禁止]&#169;2ch.net	 [453082177] (46)
1486996429.dat<>アイドルマスターのハイレゾ配信が決定、1曲あたり540円（税込） [無断転載禁止]&#169;2ch.net	 [358156486] (17)
1486959672.dat<>【悲報】 レプロ、ヤクザのナマポ受給者囲い込みと同じ手口で 清水富美加に奴隷労働させていた [無断転載禁止]&#169;2ch.net	 [388685895] (65)
1486990753.dat<>大分麦焼酎  二階堂の名言ｗｗｗ [無断転載禁止]&#169;2ch.net	 [518031904] (143)
1486966458.dat<>広島県知事「東京のメディアが日本人に東京への憧れを植え付け東京一極集中にさせてる。東京のメディアをどうにかしないと」 [無断転載禁止]&#169;2ch.net	 [159320776] (219)
1487043161.dat<>オイルマッサージ業の男性（４５）が女性のオッパイや下半身触りまくっても無罪！起訴した検察は控訴！！ [無断転載禁止]&#169;2ch.net	 [771738842] (25)
1487037076.dat<>電通過労死→死ぬぐらいなら辞めろよ　清水富美加→死にたいからって辞めるなよ　　　ダブスタすぎだろ [無断転載禁止]&#169;2ch.net	 [389124812] (31)
1486987931.dat<>【朗報】キアヌ・リーブス　家を買う　頑張れば誰でも家を持てるとホームレスの希望に 「家があるって本当に素晴らしい」 [無断転載禁止]&#169;2ch.net	 [388685895] (133)
1486986775.dat<>自治体「可燃ゴミにプラとかレジ袋入れないで！高温で炉が故障するの！」　超うさんくさい。試したのかよ。 [無断転載禁止]&#169;2ch.net	 [793337701] (218)
1487000331.dat<>アレ？おかしいな？まだ２月だけど花粉飛んでる？(　ﾟдﾟ)､;’.･　ｨｸｼｯ [無断転載禁止]&#169;2ch.net	 [267850261] (11)
1486999176.dat<>アシックスのランニングシューズ履いて走ってる奴はガチ [無断転載禁止]&#169;2ch.net	 [609535295] (179)
1486872307.dat<>【悲報】JASRACレスバトラー玉井先生、煽り耐性記録36時間、我慢できずにレスバトル再開 [無断転載禁止]&#169;2ch.net	 [155869954] (452)
1486977718.dat<>お前ら海外口座でfxやれ、100万円で4～8億円の取引が出来るから一瞬で金持ちになれるぞ [無断転載禁止]&#169;2ch.net	 [226456927] (304)
1486977691.dat<>四角い登山リュック、「ホモランドセル」と言われホモに大人気。背負えばホモにモテモテ。 [無断転載禁止]&#169;2ch.net	 [339454773] (152)
1486893678.dat<>声優の木戸衣吹さんと山崎エリイさんによるユニットevery??ing！が今年の11月に解散 [無断転載禁止]&#169;2ch.net	 [881247888] (338)
1487014503.dat<>最近の女子小学生って胸の発育良すぎるだろ… [無断転載禁止]&#169;2ch.net	 [573094681] (46)
1486985273.dat<>異世界モノで一番おもしろい作品って何？ [無断転載禁止]&#169;2ch.net	 [769327952] (251)
1486937791.dat<>【世も末】中3男子､担任の教師からのいじめを苦に飛び降り自殺 [無断転載禁止]&#169;2ch.net	 [597533159] (180)
1486970502.dat<>熊本人「震災で使ったブルーシートでバッグ作ったから買ってくれ1個3900円な」 [無断転載禁止]&#169;2ch.net	 [609535295] (265)
1487043123.dat<>左翼って西洋近代思想を金科玉条のように崇めるくせに肝心の理性がないよね。 [無断転載禁止]&#169;2ch.net	 [277861996] (27)
1486990234.dat<>(ヽ´ん`)「週に一度の楽しみと言ったらすき家1000円コースだな」 [無断転載禁止]&#169;2ch.net	 [977261419] (210)
1487044545.dat<>被爆の影響で知的障害になった久保さんの人生が辛そう　30代で知的障害が発覚 [無断転載禁止]&#169;2ch.net	 [479556552] (8)
1486989213.dat<>Google Earth 見たら日本の国土ほとんど山でワロタｗｗこれ誰も足を踏み入れてない未開の地帯とか絶対あるだろｗｗ [無断転載禁止]&#169;2ch.net	 [539558835] (243)
1486994416.dat<>【悲報】如月千早さん、公式でプロデューサーが投げ捨てたチョコを何度も拾いに行くワンコになる [無断転載禁止]&#169;2ch.net	 [372989558] (62)
1486947596.dat<>アニメ「アイドル事変」ってまだ見てる人いるの？俺は見てない。 [無断転載禁止]&#169;2ch.net	 [359394819] (32)
1486995635.dat<>小学生時代、クラスに1人はランドセルをしょってこないアウトローな子おったよな？　当時はフリーダムなふいんきに憧れてたは… [無断転載禁止]&#169;2ch.net	 [875588627] (40)
1486828643.dat<>格安SIMユーザー、性別問わず中高年に集中　10代～20代前半の若者は格安SIMを使わない [無断転載禁止]&#169;2ch.net	 [468628276] (814)
1486986165.dat<>【PS4】仁王売れすぎワロタ。辛口ダクソ民がこっそり買ってるので全国的に品切れ状態に [無断転載禁止]&#169;2ch.net	 [424896289] (37)
1486954253.dat<>ストライクウィッチーズ総合～雁淵孝美に種付けセックスする黒人寿司職人ルッキーニ【パンパンウィッチ】 [無断転載禁止]&#169;2ch.net	 [615019964] (60)
1487025275.dat<>一人暮らしなら新聞取っとけ　孤独死しそうな時に配達員に助けてくれるぞ [無断転載禁止]&#169;2ch.net	 [479556552] (39)
1487003273.dat<>お前らってセックスしようとするときも、女に「やだ、恥ずかしいから辞めて…」って言われたら真に受けて本当に辞めそうだよな [無断転載禁止]&#169;2ch.net	 [242521385] (121)
1486962817.dat<>大人気MMORPGドラゴンクエストXのゲーム内で知り合いリアル結婚式が開かれた模様。嫌儲民で祝福しよう！ [無断転載禁止]&#169;2ch.net	 [173641384] (177)
1486899623.dat<>うつ病部。 [無断転載禁止]&#169;2ch.net	 [769327952] (349)
1486996957.dat<>浅古しほり（チンネキ）とセックスするのと１０万円払うの　どっちか選ばないといけないとしたらどっち選ぶ？ [無断転載禁止]&#169;2ch.net	 [489283923] (138)
1486997014.dat<>声優の野水伊織さんのコスプレが可愛い過ぎる。ｺﾚもうリアル翔鶴だろ…。～棺姫のチャイカ総合～ [無断転載禁止]&#169;2ch.net	 [615019964] (62)
1486898555.dat<>【勝ち組】「１日９時間試験勉強」商業高校生が簿記１級に合格（経営コンサルタント会社内定） [無断転載禁止]&#169;2ch.net	 [314851142] (305)
1486983699.dat<>稀に、ひろゆきの3Dモデルとかロシアン幼女の画像を無言で貼って行く奴って何者？忘れ去られた原住民文化なのか？ [無断転載禁止]&#169;2ch.net	 [297024192] (93)
1487003055.dat<>【朗報】声優の高森奈津美さんの誕生日を祝う為、Ladygoメンバーが集結する [無断転載禁止]&#169;2ch.net	 [881247888] (49)
1487004685.dat<>【深夜】地球でイチバンの海の楽園と神秘の島　海と島編～セーシェル諸島・ヤップ島～ [無断転載禁止]&#169;2ch.net	 [134957129] (20)
1486974016.dat<>免許とって１年だが初めて青切符切られたわ…警察は威圧的だしもう怖くて運転できない [無断転載禁止]&#169;2ch.net	 [875920232] (77)
1487001950.dat<>冬でもくっさ！男がドン引く「足クサ女」にならないための簡単ケア5つ [無断転載禁止]&#169;2ch.net	 [328231926] (15)
1487021915.dat<>【ﾀﾞｲﾅﾐｯｸ入院】 ７０代の女性、運転操作を誤り病院の玄関に車ごと突っ込み、病院に運ばれる [無断転載禁止]&#169;2ch.net	 [219241683] (21)
1487012502.dat<>なにがハッピーバレンタインだ？ぶっ殺すぞ？ [無断転載禁止]&#169;2ch.net	 [942464999] (39)
1487031196.dat<>清水富美加さん引退の損害金→10億　　月収5万なのに？ [無断転載禁止]&#169;2ch.net	 [255920271] (1001)
1486994806.dat<>大阪にある日本最古の幼稚園wwwwww [無断転載禁止]&#169;2ch.net	 [255920271] (55)
1486985457.dat<>女性声優「世界に誇れる日本声優のレベルの高さは、完全実力主義だから。枕？そんなもの通じる業界ならここまで技術は発達してない」 [無断転載禁止]&#169;2ch.net	 [711847287] (252)
1486996593.dat<>【夜食部】おじやと芋の煮っころがし( ；´Д｀) [無断転載禁止]&#169;2ch.net	 [256167716] (44)
1487014281.dat<>【夜食】寒ぶり(´・ω・｀)【夜明け前】 [無断転載禁止]&#169;2ch.net	 [656393927] (64)
1487014658.dat<>【勃起不可避】しょこたんのM字開脚ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ [無断転載禁止]&#169;2ch.net	 [838559742] (198)
1487028917.dat<>旅行などに女性が同行するサービス、当初は男性利用者が多かったが何故か今では女性利用者が上回る [無断転載禁止]&#169;2ch.net	 [711847287] (21)
1486878376.dat<>俺「テフロン加工のフライパン便利やなー」老害「鉄鍋に油染み込ませろって言ってんだよ！これが最強なんだよ」 [無断転載禁止]&#169;2ch.net	 [204160824] (853)
1487027862.dat<>ＡＶ女優って女性ホルモン出てない。 [無断転載禁止]&#169;2ch.net	 [277861996] (20)
1487035390.dat<>政府「はっしゃじょうほうをおしらせします」住民「バスかな」政府「ミサイルだぞ」 [無断転載禁止]&#169;2ch.net	 [609535295] (22)
1486812788.dat<>「SF小説語るなら最低1000冊は読め！」←これマジ？ [無断転載禁止]&#169;2ch.net	 [214413644] (850)
1487031737.dat<>天皇退位「一代限りの特例法」へ 高齢の定義を決められず [無断転載禁止]&#169;2ch.net	 [533895477] (22)
1486822352.dat<>Ｚガンダムって頭がおかしな人ばかり出ていた。カツとか。カツとか。カツとかな！ [無断転載禁止]&#169;2ch.net	 [793337701] (625)
1487043911.dat<>イヤホンズ、解散 [無断転載禁止]&#169;2ch.net	 [591262568] (6)
1486998684.dat<>高速道路のインター、遊園地に直結へ　渋滞緩和＆集客UPで良いこと尽くめ　お前らもCities：SkylinesとPlanet Coasterを始めろ [無断転載禁止]&#169;2ch.net	 [452836546] (25)
1486874020.dat<>キルミーベイベー(ちょこがねむけてけがしっぷ) [無断転載禁止]&#169;2ch.net	 [399583221] (66)
1486992316.dat<>「モザイク除去機」ついに実現か？　Google新技術 [無断転載禁止]&#169;2ch.net	 [455679766] (24)
1486972837.dat<>岡本倫『エルフェンリート』の魅力 [無断転載禁止]&#169;2ch.net	 [792283379] (69)
1487043222.dat<>都議会民進党が会派名変更で党名隠しへ　民進党の名前を使わず小池知事の「東京大改革」をパクる模様 [無断転載禁止]&#169;2ch.net	 [253246518] (5)
1487024913.dat<>幼女のほっぺもみもみしてるだけのくだらない人生 [無断転載禁止]&#169;2ch.net	 [971283288] (4)
1487034247.dat<>京都府立医科大附属病院、山口組系暴力団組長のために虚偽の診断書を作成して強制捜査 [無断転載禁止]&#169;2ch.net	 [609535295] (22)
1487003668.dat<>Oppo、Vivo、ファーウェイ、中国のスマホメーカーはこの3社のシェア争いに　シャオミはオワコン、Appleも中国では大苦戦 [無断転載禁止]&#169;2ch.net	 [468628276] (31)
1487038641.dat<>(´ん`)「人種差別は許さん」アメリカに引っ越した後→「あ、やっぱ黒人ってクソやわ」 [無断転載禁止]&#169;2ch.net	 [398480926] (16)
1486952777.dat<>( ヽ´ん`)｢顔本！密林！火狐！林檎！｣サカ豚｢飴！新城！脚！鯱！壺！｣←何だよこの略語は…気持ち悪すぎだろ… [無断転載禁止]&#169;2ch.net	 [875920232] (225)
1487034660.dat<>「アカギ」の「鷲巣麻雀編」は終わる。だが「アカギ」自体が終わるとまでは言っていない [無断転載禁止]&#169;2ch.net	 [732912476] (21)
1486986490.dat<>群馬県沼田市が「移住新婚世帯」に新幹線通勤費２万円＋住宅賃貸＆取得費補助 [無断転載禁止]&#169;2ch.net	 [771738842] (38)
1487041622.dat<>【乞食蝕報】 @niftyでんきが価格.com経由の申込で12カ月間、毎月1000円値引き [無断転載禁止]&#169;2ch.net	 [284894144] (12)
1487024362.dat<>なぜ真面目で優しい男(安倍ちゃん系)はオラつきDQN(トランプ系)にコロっと落とされてデレデレになるのか [無断転載禁止]&#169;2ch.net	 [711847287] (11)
1486988664.dat<>【ミリオンライブ】バトルの無いバレンタイン [無断転載禁止]&#169;2ch.net	 [973634127] (21)
1486999674.dat<>350時間メンテでネットを騒がせたガールフレンド(♪)、なんか終わりそう [無断転載禁止]&#169;2ch.net	 [322795904] (41)
1486945951.dat<>【速報】 京浜東北で新たな人身　上野東京・湘南新宿また死亡 [無断転載禁止]&#169;2ch.net	 [399259198] (124)
1486965579.dat<>【速報】Tehuさん（19歳、SFC入学したて）が積極的すぎると話題に [無断転載禁止]&#169;2ch.net	 [242521385] (59)
1487042878.dat<>ベトナム戦争の死者　米軍5万、ベトコン100万←実質米軍の勝利じゃね [無断転載禁止]&#169;2ch.net	 [479556552] (3)
1486801175.dat<>【画像】ガヴリールドロップアウトの作者のご尊顔ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ [無断転載禁止]&#169;2ch.net	 [996155856] (403)
1487037224.dat<>米男性誌プレイボーイ、再びヌード掲載へ　創刊以降、長年続けていた路線に回帰 [無断転載禁止]&#169;2ch.net	 [594632409] (13)
1486996598.dat<>自民「嗜好品に罰則を設けるのは国民の自由を脅かす」おいおいレバ刺しは… [無断転載禁止]&#169;2ch.net	 [267850261] (21)
1487029979.dat<>【悲報】30社受けて全滅の大学院生「何が悪いのか分からない」 [無断転載禁止]&#169;2ch.net	 [838559742] (160)
1486946862.dat<>【画像】とんでもなくエロい体の１４歳が見つかる [無断転載禁止]&#169;2ch.net	 [604460326] (92)
1487039930.dat<>AIのおかげでコンビニやスーパーの店員が要らなくなるけど　どうすんの？ [無断転載禁止]&#169;2ch.net	 [649717704] (20)
1486900467.dat<>装甲騎兵ボトムズのかっけぇ可動フィギュアが出るぞ！やっぱこの造形はしびれるわ [無断転載禁止]&#169;2ch.net	 [424896289] (111)
